id	is_series	dir_name	series_num	slug	proposed_path	reasoning
017d2d2c758f76071f23	True	math	2	outer-product	math/02-outer-product.md	The article explicitly states 'シリーズの記事です' (This is an article in a series) and lists itself as the second item in a numbered sequence of mathematical topics.
01899f69f010a029242f	False	fsharp	0	winrt-reflection	fsharp/20200624-winrt-reflection.md	The article focuses on using F# to interact with WinRT via reflection. While it references another related article about asynchronous methods in WinRT, it doesn't follow a numbered sequence or a structured series format. It is treated as a standalone technical guide.
022c58cf9a86ced595ef	False	fsharp	0	xml-tag-structure	fsharp/20200524-xml-tag-structure.md	The article is a standalone technical note about analyzing XML structures using F# and doesn't exhibit any characteristics of a series (no numbering or references to other parts).
026839b2bc193dbfb0cb	True	haskell	1	8086-disassembler	haskell/01-8086-disassembler.md	The article is part of a series as it explicitly mentions a corresponding answer examples article ('【解答例】...') and sister articles. It focuses on using Haskell to build an 8086 disassembler, fitting the 'haskell' directory.
026c7daa5b0b24d02c0f	True	haskell	2	monad-computation-expressions	haskell/02-monad-computation-expressions.md	The article explicitly mentions it is a sequel ('この記事は次の続編です') to another post and provides links to several introductory articles on monads, indicating it's part of a larger learning series.
029343420518b6884d7c	True	opengl	1	fsharp-opengl	opengl/01-fsharp-opengl.md	The article explicitly states 'シリーズの記事です' (This is part of a series) and lists other related articles in the sequence.
02c758c03d2fd7038912	True	math	8	cross-product-components	math/08-cross-product-components.md	The article explicitly states it is part of a series ('シリーズの記事です') and provides a numbered list where this article is the 8th entry. The content focuses on mathematical concepts like cross products and wedge products, fitting into the 'math' category.
02ec42692b77e6c7c192	False	fsharp	0	raii-pinning	fsharp/20170201-raii-pinning.md	The article is presented as a short technical tip ('小ネタ') regarding memory pinning using the RAII pattern in F#. It does not contain numbering or markers indicating it is part of a series.
03e9eb2c78360a5c1374	True	math	1	dot-product	math/01-dot-product.md	The article explicitly states it is part of a series ('シリーズの記事です') and provides a list of related topics. The content focuses on linear algebra (dot products), making 'math' the most appropriate directory.
0494704d00396687458f	True	haskell	0	rpn-state-monad	haskell/00-rpn-state-monad.md	The article explicitly states it is a side story (番外編) of the 'Haskell 超入門' series. The content focuses on Haskell and specifically implementing Reverse Polish Notation using State Monads.
